DATA,Velocità media (m/s),Velocità raffica (m/s),Settore prevalente,Tempo permanenza (min),Durata calma (min),Vento classe
1992-02-14,2.2,11.2,E,330,0,M*****
1992-02-15,3.9,12.0,SW,640,10,M00000
1992-02-16,6.9,20.7,W,1090,0,M00000
1992-02-17,5.1,18.9,WSW,470,0,M00000
1992-02-18,2.2,8.1,ENE,380,0,M00000
1992-02-19,2.3,5.2,E,530,10,M00000
1992-02-20,1.4,4.9,E,370,60,M00000
1992-02-21,2.0,5.2,E,500,90,M00000
1992-02-22,1.7,6.3,E,350,20,M00000
1992-02-23,1.8,5.6,ENE,420,20,M00000
1992-02-24,1.8,6.9,ENE,440,20,M00000
1992-02-25,2.3,6.5,E,460,10,M00000
1992-02-26,1.8,7.6,ESE,440,50,M00000
1992-02-27,1.4,6.4,NE,190,30,M00000
1992-02-28,2.4,5.3,ENE,690,10,M00000
1992-02-29,2.3,5.5,ENE,640,20,M*****
1992-03-01,2.3,7.9,E,420,0,M00000
1992-03-02,2.8,10.6,E,320,0,M00000
1992-03-03,2.1,9.8,E,370,20,M*****
1992-03-04,1.9,5.1,E,600,40,M00000
1992-03-05,1.3,6.6,E,250,270,M00000
1992-03-06,1.6,5.8,ENE,490,20,M00000
1992-03-07,1.5,4.8,E,380,160,M00000
1992-03-08,0.7,4.6,W,420,220,M00000
1992-03-09,1.0,4.8,W,230,460,M00000
1992-03-10,1.6,7.1,E,320,40,M00000
1992-03-11,2.9,10.0,WSW,440,10,M00000
1992-03-12,3.4,13.8,W,420,0,M00000
1992-03-13,6.5,19.0,W,670,0,M00000
1992-03-14,7.9,25.7,WSW,590,0,M00000
1992-03-15,6.7,22.6,SW,360,0,M00000
1992-03-16,4.1,13.0,WSW,460,0,M00000
1992-03-17,1.3,4.5,E,380,170,M00000
1992-03-18,1.3,6.8,E,170,120,M00000
1992-03-19,2.4,8.6,W,210,0,M00000
1992-03-20,2.4,10.3,SW,200,0,M00000
1992-03-21,5.6,18.3,SW,320,0,M00000
1992-03-22,5.7,23.9,W,680,0,M00000
1992-03-23,4.4,13.4,W,680,0,M00000
1992-03-24,4.4,13.4,SW,560,0,M00000
1992-03-25,1.9,7.4,WSW,170,60,M00000
1992-03-26,1.6,6.2,WSW,200,30,M00000
1992-03-27,1.3,6.5,E,230,80,M00000
1992-03-28,4.0,14.1,SW,360,0,M00000
1992-03-29,1.6,7.2,W,260,20,M00000
1992-03-30,1.2,8.0,WSW,300,70,M00000
1992-03-31,1.9,8.8,ENE,340,80,M*****
1992-04-01,2.1,8.1,SSW,360,20,M00000
1992-04-02,1.7,6.4,SSW,280,50,M00000
1992-04-03,0.9,5.6,W,460,140,M00000
1992-04-04,0.5,6.4,WSW,140,610,M00000
1992-04-05,0.8,5.0,WSW,410,290,M00000
1992-04-06,0.8,4.3,W,240,210,M00000
1992-04-07,1.2,6.0,WSW,260,80,M00000
1992-04-08,,,,,,M00000
1992-04-09,,,,,,M00000
1992-04-10,2.5,6.3,ENE,630,0,M00000
1992-04-11,1.7,7.1,E,460,40,M00000
1992-04-12,1.6,5.4,ENE,300,20,M00000
1992-04-13,3.7,13.8,WSW,430,20,M00000
1992-04-14,1.9,7.8,W,270,30,M00000
1992-04-15,3.7,15.1,WSW,380,20,M00000
1992-04-16,3.8,13.6,SW,380,40,M00000
1992-04-17,2.4,11.8,W,230,10,M00000
1992-04-18,2.9,13.8,W,220,10,M00000
1992-04-19,2.3,9.2,NE,360,10,M00000
1992-04-20,2.4,7.4,ENE,340,10,M00000
1992-04-21,1.5,6.8,WSW,300,30,M00000
1992-04-22,2.4,9.3,W,340,10,M00000
1992-04-23,3.9,13.5,W,550,0,M00000
1992-04-24,1.5,7.2,W,240,60,M00000
1992-04-25,2.0,7.0,ESE,330,10,M00000
